iter	Passed	Remaining
0	94	94094
1	126	63285
2	156	52120
3	189	47210
4	219	43776
5	252	41805
6	290	41256
7	329	40872
8	359	39577
9	393	38925
10	433	38968
11	473	38981
12	510	38790
13	538	37903
14	586	38500
15	626	38540
16	661	38250
17	698	38103
18	741	38280
19	777	38090
20	819	38184
21	862	38331
22	902	38347
23	937	38120
24	973	37947
25	1013	37953
26	1064	38358
27	1116	38742
28	1175	39353
29	1239	40080
30	1290	40331
31	1328	40191
32	1366	40055
33	1402	39856
34	1442	39758
35	1475	39522
36	1514	39423
37	1548	39192
38	1591	39226
39	1630	39138
40	1665	38963
41	1702	38836
42	1735	38615
43	1768	38431
44	1798	38169
45	1827	37895
46	1859	37698
47	1890	37493
48	1918	37229
49	1955	37149
50	1987	36986
51	2018	36799
52	2053	36695
53	2084	36511
54	2124	36496
55	2157	36368
56	2196	36339
57	2239	36365
58	2275	36293
59	2307	36156
60	2343	36081
61	2377	35963
62	2412	35874
63	2447	35799
64	2483	35723
65	2516	35616
66	2550	35513
67	2585	35441
68	2626	35441
69	2660	35353
70	2711	35484
71	2744	35377
72	2778	35278
73	2815	35234
74	2858	35259
75	2898	35238
76	2938	35224
77	2970	35117
78	3031	35340
79	3071	35319
80	3114	35338
81	3164	35421
82	3213	35501
83	3262	35576
84	3308	35609
85	3351	35617
86	3388	35562
87	3425	35501
88	3458	35405
89	3494	35332
90	3530	35266
91	3566	35200
92	3609	35203
93	3658	35259
94	3705	35295
95	4129	38885
96	4182	38936
97	4213	38779
98	4243	38616
99	4273	38463
100	4302	38294
101	4351	38307
102	4384	38185
103	4416	38051
104	4508	38428
105	4542	38308
106	4579	38223
107	4618	38143
108	4652	38030
109	4707	38091
110	4816	38576
111	4895	38816
112	4937	38756
113	4974	38657
114	5012	38576
115	5075	38681
116	5107	38548
117	5143	38445
118	5182	38370
119	5217	38261
120	5257	38191
121	5327	38338
122	5362	38232
123	5389	38072
124	5444	38109
125	5478	37999
126	5503	37832
127	5541	37751
128	5588	37729
129	5619	37607
130	5660	37552
131	5695	37453
132	5727	37334
133	5769	37283
134	5801	37171
135	5838	37088
136	5982	37686
137	6012	37556
138	6052	37489
139	6308	38751
140	6525	39754
141	6723	40624
142	7005	41985
143	7190	42743
144	7357	43381
145	7462	43649
146	7492	43477
147	7533	43369
148	7639	43635
149	7694	43603
150	7729	43461
151	7760	43295
152	7790	43127
153	7828	43007
154	7866	42886
155	7894	42709
156	7926	42561
157	7956	42402
158	7987	42249
159	8021	42111
160	8062	42015
161	8105	41927
162	8137	41786
163	8171	41653
164	8200	41498
165	8245	41424
166	8277	41289
167	8359	41397
168	8461	41605
169	8497	41488
170	8527	41341
171	8573	41274
172	8616	41191
173	8672	41168
174	8719	41107
175	8765	41037
176	8814	40984
177	8874	40982
178	8903	40835
179	8936	40710
180	8971	40595
181	9002	40462
182	9033	40329
183	9062	40190
184	9106	40116
185	9139	39997
186	9177	39901
187	9202	39748
188	9242	39660
189	9275	39544
190	9308	39428
191	9354	39367
192	9383	39235
193	9419	39133
194	9448	39004
195	9480	38888
196	9505	38744
197	9535	38625
198	9566	38508
199	9743	38972
200	9858	39187
201	9940	39267
202	10048	39452
203	10144	39583
