iter	Logloss	Accuracy
0	0.6834939449	0.7054
1	0.6748597285	0.7052285714
2	0.6668677702	0.7055142857
3	0.6596339248	0.7051714286
4	0.6535026236	0.7052857143
5	0.647469472	0.7058
6	0.6420804489	0.7064
7	0.6371977079	0.7062285714
8	0.6330088413	0.7061428571
9	0.6291174749	0.7062
10	0.6256059671	0.7060571429
11	0.6222022825	0.7063428571
12	0.6193831316	0.706
13	0.6166177637	0.7062
14	0.6140773067	0.7065428571
15	0.6118868347	0.7061142857
16	0.6101445879	0.7048571429
17	0.6084856991	0.7044285714
18	0.6068128088	0.7043428571
19	0.6052392495	0.7052857143
20	0.6039448568	0.7048857143
21	0.6027822564	0.7044
22	0.6015783077	0.7047714286
23	0.6006209225	0.7044285714
24	0.5997687355	0.7044
25	0.5988582532	0.7045428571
26	0.5981838076	0.7043714286
27	0.597526295	0.7044285714
28	0.5969702151	0.7042857143
29	0.5963750297	0.7042571429
30	0.5958224639	0.7043428571
31	0.5953489357	0.7042285714
32	0.5948996731	0.7043142857
33	0.5944614588	0.7044
34	0.5941257593	0.7045714286
35	0.5938104454	0.7045714286
36	0.5934912131	0.7046285714
37	0.5931597514	0.7046285714
38	0.5929430204	0.7046
39	0.5926522473	0.7046285714
40	0.5924086008	0.7045714286
41	0.592255264	0.7046
42	0.5920404228	0.7045714286
43	0.5918881981	0.7045714286
44	0.591707978	0.7046
45	0.5915982648	0.7045714286
46	0.5913862654	0.7045714286
47	0.5911988428	0.7046571429
48	0.5910849954	0.7046571429
49	0.5909535632	0.7048
50	0.5908288558	0.7048285714
51	0.5907053077	0.7048285714
52	0.5906287844	0.7048
53	0.5904995873	0.7049428571
54	0.5904063173	0.7050285714
55	0.5902870309	0.7051428571
56	0.5901432243	0.7052285714
57	0.5900492787	0.7058571429
58	0.5899829407	0.7060285714
59	0.5898900115	0.7064857143
60	0.5898243011	0.7065428571
61	0.5897759928	0.7064285714
62	0.5897027899	0.7064571429
63	0.5896607659	0.7064857143
64	0.5896252015	0.7064571429
65	0.5895844518	0.7065428571
66	0.5895465052	0.7064285714
67	0.5895165449	0.7063714286
68	0.5894746572	0.7061714286
69	0.5894086367	0.7063142857
70	0.5893671385	0.7063142857
71	0.5893415312	0.7063714286
72	0.5893145119	0.7066
73	0.5892485381	0.7066857143
74	0.5892353945	0.7068
75	0.5891931572	0.7066285714
76	0.589166579	0.7066
77	0.5891107454	0.7067714286
78	0.5890925809	0.7067428571
79	0.589085287	0.7067714286
80	0.5890617187	0.7066857143
81	0.5889967248	0.7066857143
82	0.5889819935	0.7066571429
83	0.5889787302	0.7066285714
84	0.5889563011	0.7068571429
85	0.5889235087	0.7067428571
86	0.5889035949	0.7067142857
87	0.5888309109	0.7067714286
88	0.5888172409	0.7068857143
89	0.5887521262	0.7067714286
90	0.5887482241	0.7067714286
91	0.5887167631	0.7068
92	0.5886850337	0.7067714286
93	0.5886438578	0.7067428571
94	0.588624209	0.7066285714
95	0.5885837888	0.7067428571
96	0.5885491114	0.7068285714
97	0.5884928388	0.7066571429
98	0.5884601263	0.7068
99	0.5884528604	0.7067428571
100	0.5883801214	0.7065714286
101	0.5883357375	0.7068285714
102	0.588257637	0.7068
103	0.5881926195	0.7067428571
104	0.588141318	0.7067714286
105	0.5881386118	0.7067142857
106	0.5881181138	0.7066857143
107	0.5881044092	0.7066857143
108	0.5881031878	0.7066571429
109	0.5880755597	0.7068
110	0.5880717082	0.7067714286
111	0.5880553921	0.7068571429
112	0.5880157595	0.7068571429
113	0.5879719468	0.7068285714
114	0.5879647298	0.7068571429
115	0.5879342953	0.7068
116	0.5879255748	0.7068
117	0.5879202729	0.7068571429
118	0.5879195192	0.7068285714
119	0.5878783139	0.7069714286
120	0.5878518047	0.7067428571
121	0.5878341796	0.7067714286
122	0.5878304408	0.7068285714
123	0.5878297239	0.7068571429
124	0.5878291407	0.7068571429
125	0.5878286098	0.7068571429
126	0.5877835234	0.7070285714
127	0.5877806157	0.707
128	0.5877746739	0.7070571429
129	0.5877604994	0.7070285714
130	0.5877563356	0.7069714286
131	0.5877396404	0.7068857143
132	0.5877347187	0.7069428571
133	0.5877142564	0.7069428571
134	0.5877139021	0.7069428571
135	0.5876836839	0.7070571429
136	0.5876278199	0.7068857143
137	0.587584413	0.7068857143
138	0.5875824513	0.7069142857
139	0.5875773333	0.7068857143
140	0.5875660093	0.7069142857
141	0.5875643447	0.7068857143
